date,Extremely Negative,Extremely Positive,Negative,Neutral,Positive
2021-05-21,112,263,234,356,293
2021-05-22,73,177,111,181,167
2021-05-23,54,100,106,221,144
2021-05-24,84,195,201,422,263
2021-05-25,88,194,135,288,302
2021-05-26,90,134,139,311,192
2021-05-27,61,108,111,213,142
2021-05-28,106,115,146,238,152
2021-05-29,45,83,53,122,85
2021-05-30,41,107,46,133,74
2021-05-31,35,94,62,144,119
2021-06-01,31,114,83,173,136
2021-06-02,41,101,68,148,121
2021-06-03,37,114,74,181,138
2021-06-04,89,163,121,341,226
2021-06-05,54,140,68,221,153
2021-06-06,50,171,87,167,268
2021-06-07,95,218,164,310,312
2021-06-08,114,207,224,369,283
2021-06-09,128,444,215,389,658
2021-06-10,124,281,233,364,450
2021-06-11,67,195,130,268,252
2021-06-12,25,114,52,152,122
2021-06-13,47,146,82,182,126
2021-06-14,73,258,127,320,344
2021-06-15,48,174,90,239,209
2021-06-16,32,147,70,191,157
2021-06-17,41,127,104,207,176
2021-06-18,35,121,84,176,127
2021-06-19,32,68,38,124,70
2021-06-20,25,63,46,121,79
2021-06-21,2,3,1,3,3
